,id,other,date,hashtag,user,tweet
0,4,3,Mon May 11 03:17:40 UTC 2009,kindle2,tpryan,"['stellargirl', 'loooooooovvvvvveee', 'kindle2', 'dx', 'cool', '2', 'fantastic', 'right']"
1,4,4,Mon May 11 03:18:03 UTC 2009,kindle2,vcu451,"['reading', 'kindle2', 'love', 'lee', 'childs', 'good', 'read']"
2,4,5,Mon May 11 03:18:54 UTC 2009,kindle2,chadfu,"['ok', 'first', 'assesment', 'kindle2', 'fucking', 'rocks']"
3,4,6,Mon May 11 03:19:04 UTC 2009,kindle2,SIX15,"['kenburbary', 'youll', 'love', 'kindle2', 'ive', 'mine', 'few', 'months', 'never', 'looked', 'back', 'new', 'big', 'one', 'huge', 'need', 'remorse']"
4,4,7,Mon May 11 03:21:41 UTC 2009,kindle2,yamarama,"['mikefish', 'fair', 'enough', 'kindle2', 'think', 'perfect']"
5,4,8,Mon May 11 03:22:00 UTC 2009,kindle2,GeorgeVHulme,"['richardebaker', 'big', 'im', 'quite', 'happy', 'kindle2']"
6,0,9,Mon May 11 03:22:30 UTC 2009,aig,Seth937,"['fuck', 'economy', 'hate', 'aig', 'non', 'loan', 'given', 'asses']"
7,4,10,Mon May 11 03:26:10 UTC 2009,jquery,dcostalis,"['jquery', 'new', 'best', 'friend']"
8,4,11,Mon May 11 03:27:15 UTC 2009,twitter,PJ_King,"['loves', 'twitter']"
9,4,12,Mon May 11 03:29:20 UTC 2009,obama,mandanicole,"['love', 'obama', 'makes', 'jokes', 'himself']"
10,2,13,Mon May 11 03:32:42 UTC 2009,obama,jpeb,"['check', 'video', 'out', 'president', 'obama', 'white', 'house', 'correspondents', 'dinner', 'httpbitlyimxum']"
11,0,14,Mon May 11 03:32:48 UTC 2009,obama,kylesellers,"['karoli', 'firmly', 'believe', 'obamapelosi', 'zero', 'desire', 'civil', 'charade', 'slogan', 'want', 'destroy', 'conservatism']"
12,4,15,Mon May 11 03:33:38 UTC 2009,obama,theviewfans,"['house', 'correspondents', 'dinner', 'last', 'night', 'whoopi', 'barbara', 'amp', 'sherri', 'went', 'obama', 'standing', 'ovation']"
13,4,16,Mon May 11 05:05:58 UTC 2009,nike,MumsFP,"['watchin', 'espnjus', 'seen', 'new', 'nike', 'commerical', 'puppet', 'lebronsht', 'hilariouslmao']"
14,0,17,Mon May 11 05:06:22 UTC 2009,nike,vincentx24x,"['nike', 'stop', 'flywire', 'shit', 'waste', 'science', 'ugly', 'love', 'vincentx24x']"
15,4,18,Mon May 11 05:20:15 UTC 2009,lebron,cameronwylie,"['lebron', 'best', 'athlete', 'generation', 'time', 'basketball', 'related', 'dont', 'want', 'intersport', 'debates', '__12']"
16,0,19,Mon May 11 05:20:28 UTC 2009,lebron,luv8242,"['talking', 'guy', 'last', 'night', 'telling', 'die', 'hard', 'spurs', 'fan', 'told', 'hates', 'lebron', 'james']"
