  1. [warner=y]: 33 ==> [time=y]: 33   <conf:(1)> lift:(11.32) lev:(0.06) conv:(30.08)
  2. [museum=y]: 25 ==> [night=y]: 25   <conf:(1)> lift:(14.23) lev:(0.05) conv:(23.24)
  3. [last=y]: 9 ==> [night=y]: 9   <conf:(1)> lift:(14.23) lev:(0.02) conv:(8.37)
  4. [site=y]: 4 ==> [new=y]: 4   <conf:(1)> lift:(14.23) lev:(0.01) conv:(3.72)
  5. [let=y]: 3 ==> [go=y]: 3   <conf:(1)> lift:(15.09) lev:(0.01) conv:(2.8)
  6. [io=y]: 3 ==> [googl=y]: 3   <conf:(1)> lift:(23.71) lev:(0.01) conv:(2.87)
  7. [android=y]: 3 ==> [googl=y]: 3   <conf:(1)> lift:(23.71) lev:(0.01) conv:(2.87)
  8. [kobe=y]: 4 ==> [lebron=y]: 4   <conf:(1)> lift:(24.9) lev:(0.01) conv:(3.84)
  9. [nba=y]: 3 ==> [lebron=y]: 3   <conf:(1)> lift:(24.9) lev:(0.01) conv:(2.88)
 10. [kindl=y]: 3 ==> [kindle2=y]: 3   <conf:(1)> lift:(24.9) lev:(0.01) conv:(2.88)
 11. [dx=y]: 3 ==> [kindle2=y]: 3   <conf:(1)> lift:(24.9) lev:(0.01) conv:(2.88)
 12. [kirstiealley=y]: 3 ==> [dentist=y]: 3   <conf:(1)> lift:(33.2) lev:(0.01) conv:(2.91)
 13. [presid=y]: 3 ==> [obama=y]: 3   <conf:(1)> lift:(35.57) lev:(0.01) conv:(2.92)
 14. [joke=y]: 3 ==> [obama=y]: 3   <conf:(1)> lift:(35.57) lev:(0.01) conv:(2.92)
 15. [barack=y]: 3 ==> [obama=y]: 3   <conf:(1)> lift:(35.57) lev:(0.01) conv:(2.92)
 16. [malcolm=y]: 11 ==> [gladwel=y]: 11   <conf:(1)> lift:(45.27) lev:(0.02) conv:(10.76)
 17. [gladwel=y]: 11 ==> [malcolm=y]: 11   <conf:(1)> lift:(45.27) lev:(0.02) conv:(10.76)
 18. [san=y]: 9 ==> [francisco=y]: 9   <conf:(1)> lift:(55.33) lev:(0.02) conv:(8.84)
 19. [francisco=y]: 9 ==> [san=y]: 9   <conf:(1)> lift:(55.33) lev:(0.02) conv:(8.84)
 20. [breaker=y]: 3 ==> [san=y]: 3   <conf:(1)> lift:(55.33) lev:(0.01) conv:(2.95)
 21. [breaker=y]: 3 ==> [francisco=y]: 3   <conf:(1)> lift:(55.33) lev:(0.01) conv:(2.95)
 22. [warren=y]: 8 ==> [buffet=y]: 8   <conf:(1)> lift:(62.25) lev:(0.02) conv:(7.87)
